movie name,,,keywords
Erin Brockovich,0,2000,"['biography', 'based on true story', 'single mother', 'water pollution', 'environmental law']"
"Crouching Tiger, Hidden Dragon",0,2000,"['flying', 'martial arts', 'taskmaster', 'comb', 'tiger', 'desert thief', 'theft', 'female martial artist']"
Traffic,0,2000,"['usa', 'war on drugs', 'drug traffic', 'drug dealer', 'drug smuggle', 'addicted', 'police operation', 'united states–mexico barrier', 'addiction', 'drug lord']"
Chocolat,0,2000,"['chocolate', 'mayor', 'praline', 'single', 'mother daughter relationship']"
Gladiator,1,2000,"['rome', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient world', 'father daughter relationship', 'combat', 'mother son relationship', 'dream sequence', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor']"
Gladiator,0,2000,"['rome', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient world', 'father daughter relationship', 'combat', 'mother son relationship', 'dream sequence', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor']"
A Beautiful Mind,1,2001,"['individual', 'schizophrenia', 'massachusetts', ""love of one's life"", 'intelligence', 'mathematician', 'market economy', 'economic theory', 'princeton university', 'nobel prize', 'mathematical theorem', 'm.i.t.', 'mathematics', 'delusion']"
A Beautiful Mind,0,2001,"['individual', 'schizophrenia', 'massachusetts', ""love of one's life"", 'intelligence', 'mathematician', 'market economy', 'economic theory', 'princeton university', 'nobel prize', 'mathematical theorem', 'm.i.t.', 'mathematics', 'delusion']"
Gosford Park,0,2001,"['servant', 'money', 'shooting party']"
In the Bedroom,0,2001,"['age difference', 'fishing', 'arbitrary law', 'conductor', 'ex husband', 'single', 'independent film']"
The Lord of the Rings: The Fellowship of the Ring,0,2001,"['elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'mountain', 'fireworks', 'castle', 'volcano', 'password', 'death of a friend', 'uncle', 'mirror', 'wizard', 'sword and sorcery']"
Moulin Rouge!,0,2001,"['duke', 'musical', ""writer's block"", 'music', 'terminal illness', 'writer', 'no opening credits', 'moulin rouge', 'bohemian', 'toulouse lautrec', 'red curtain', 'cancan dance', 'la traviata', 'orpheus and eurydice', 'dance hall']"
The Pianist,0,2002,"['individual', 'resistance', 'radio station', 'war crimes', 'loss of family', 'child murderer', 'hunger', 'world war ii', 'prisoners of war', 'homeland', 'deportation', 'hiding place', 'ghetto riot', 'jew persecution', 'liberation', 'warsaw ghetto', 'polish resistance', 'nazis', 'biography', 'classical music', 'panzer', 'pianist']"
The Lord of the Rings: The Two Towers,0,2002,"['elves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'based on novel', 'explosive', 'cave', 'fort', 'army', 'mission', 'attack', 'guide', 'wizard', 'ring', 'sword and sorcery']"
The Hours,0,2002,"['london england', 'suicide', 'gay', 'poetry', 'aids', 'drowning', 'depression', 'home', 'way of life', 'self-destruction', 'province', 'literature', 'empowerment', 'country life', ""family's daily life"", 'sense of life', 'homelessness', ""leaving one's family"", 'delusion']"
Gangs of New York,0,2002,"['fire', 'irish-american', 'immigrant', 'gang war', 'pickpocket', 'ship', 'gang of thieves', 'butcher', 'pig', 'army', 'rescue', 'gang']"
Chicago,1,2002,"['chicago', 'based on play or musical', 'prison matron', 'jazz age', 'nude man murdered']"
Chicago,0,2002,"['chicago', 'based on play or musical', 'prison matron', 'jazz age', 'nude man murdered']"
Lost in Translation,0,2003,"['upper class', 'hotel room', 'age difference', 'commercial', 'karaoke', 'homesickness', 'culture clash', 'jet lag', 'pop star', 'unsociability', 'aftercreditsstinger', 'woman director']"
Mystic River,0,2003,"['child abuse', 'sexual abuse', 'loss of child', 'repayment', 'suppressed past', 'arbitrary law', 'boston', ""workers' quarter"", 'reference to sprite', 'child']"
Seabiscuit,0,2003,"['horse race', 'american dream', 'racehorse', 'great depression']"
Master and Commander: The Far Side of the World,0,2003,"['naturalist', 'frigate', 'self surgery', 'sea battle', 'weevil']"
The Lord of the Rings: The Return of the King,0,2003,"['elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery']"
The Lord of the Rings: The Return of the King,1,2003,"['elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery']"
Million Dollar Baby,1,2004,"['transporter', 'suicide attempt', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'sport', 'female protagonist', 'boxing trainer', 'determination']"
Million Dollar Baby,0,2004,"['transporter', 'suicide attempt', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'sport', 'female protagonist', 'boxing trainer', 'determination']"
Finding Neverland,0,2004,"['skab under tv', 'Øverste hylde', 'foran']"
Ray,0,2004,"['black people', 'soul', 'country music', 'loss of brother', '1970s', 'jazz', 'blindness and impaired vision', 'georgia', 'overdose', 'bus ride', 'record producer', 'biography', 'from rags to riches', 'childhood trauma', 'gospel', 'indianapolis', 'record label', 'recording studio']"
Sideways,0,2004,"['california', 'golf', 'oscar award', 'wine', 'stag night', 'marijuana', 'writer']"
Munich,0,2005,"['paris', 'assassination', 'israel', 'hotel room', '1970s', 'hostage', 'intelligence', 'olympic games', 'munich', 'mossad', 'israeli', 'palestinian', 'beirut', 'ailul al aswad', 'plo', 'bomb constructor', 'baader-meinhof group', 'olympian village', 'revenge']"
Capote,0,2005,"['gay', 'self-fulfilling prophecy', 'based on novel', 'journalism', 'identity', 'dream', 'literature research', 'literature', 'dying and death', 'biography']"
Crash,1,2005,"['gay', 'sexual obsession', 'adultery', 'sadistic', 'sexuality', 'wife husband relationship', 'eroticism', 'car journey', 'simulation', 'dead wish', 'fetish', 'wound', 'fetishism', 'masochism', 'deceived husband', 'dying and death', 'pain', 'james dean', 'sadism', 'marriage crisis', 'cult', 'car accident']"
Crash,0,2005,"['gay', 'sexual obsession', 'adultery', 'sadistic', 'sexuality', 'wife husband relationship', 'eroticism', 'car journey', 'simulation', 'dead wish', 'fetish', 'wound', 'fetishism', 'masochism', 'deceived husband', 'dying and death', 'pain', 'james dean', 'sadism', 'marriage crisis', 'cult', 'car accident']"
Brokeback Mountain,0,2005,"['gay', 'countryside', 'homophobia', 'loss of lover', 'wyoming', 'rodeo', 'father murder', 'horseback riding', 'intolerance', 'daughter', 'marriage crisis', 'secret love', 'cowboy', 'star crossed lovers']"
The Departed,1,2006,"['undercover', 'boston', 'police', 'friends', 'mafia', 'undercover cop', 'mobster', 'mole', 'state police', 'police training', 'realtor']"
The Departed,0,2006,"['undercover', 'boston', 'police', 'friends', 'mafia', 'undercover cop', 'mobster', 'mole', 'state police', 'police training', 'realtor']"
Babel,0,2006,"['terror', 'loss of mother', 'gun', 'morocco', 'deaf-mute', 'san diego', 'ecstasy', 'illegal immigration', 'first time', 'nanny', 'daughter', 'bullet wound', 'ensemble cast']"
Letters from Iwo Jima,0,2006,"['world war ii', 'cave', 'dying and death', 'pacific theater', 'japanese army', 'imperial japan']"
Little Miss Sunshine,0,2006,"['california', 'brother sister relationship', 'wife husband relationship', ""family's daily life"", 'oscar award', 'highway', 'professor for literature', 'beauty contest', 'beauty queen contest', 'road trip', 'family relationships', 'family holiday', 'road movie', 'woman director', 'beauty pageant']"
The Queen,0,2006,"['upper class', 'loss of mother', 'great britain', 'sadness', 'queen', 'monarchy', 'paparazzi', 'prime minister', 'headline', 'oscar award', 'dying and death', 'queen elisabeth ii', 'prince charles', 'buckingham palace', 'royal family', 'lady diana spencer']"
No Country for Old Men,0,2007,"['texas', 'drug traffic', 'hitman', 'united states–mexico barrier', 'suspense']"
Atonement,0,2007,"['based on novel', 'sister sister relationship', 'flirt', 'loss of sister', 'new love', 'world war ii', 'book', 'mistake', 'innocence', 'author', 'redemption', 'summer']"
Juno,0,2007,"['sexuality', 'becoming an adult', 'puberty', 'first time', 'oscar award', 'pregnancy and birth', 'pregnant minor', 'precocity', 'partnership', 'teenager', 'teenage pregnancy']"
Michael Clayton,0,2007,"['killing', 'restaurant', 'chambers of a barrister', 'scandal', 'pretended suicide', 'lawsuit', 'car bomb', 'business ethics', 'crooked lawyer']"
There Will Be Blood,0,2007,"['brother brother relationship', 'deaf-mute', 'american dream', 'fanatic', 'pipeline', 'petrol', 'father', 'step father', 'oil', 'money', 'killer', 'alcoholic']"
No Country for Old Men,1,2007,"['texas', 'drug traffic', 'hitman', 'united states–mexico barrier', 'suspense']"
Slumdog Millionaire,1,2008,"['slum', 'indian lead', 'cheating', 'suspicion', 'game show', 'orphan', 'duringcreditsstinger']"
The Reader,0,2008,"['germany', 'war crimes', 'trial', 'female prisoner', 'teenager', 'law student', 'teenage sexuality', 'older woman younger man relationship', 'teenage sex', 'affair']"
Frost/Nixon,0,2008,"['camera', 'lie', 'scandal', 'watergate scandal', 'richard nixon', 'reporter', 'writer']"
Slumdog Millionaire,0,2008,"['slum', 'indian lead', 'cheating', 'suspicion', 'game show', 'orphan', 'duringcreditsstinger']"
The Curious Case of Benjamin Button,0,2008,"['diary', 'navy', 'funeral', 'tea', 'travel', 'hospital']"
Milk,0,2008,"['gay', 'san francisco', 'homophobia', 'mayor', 'biography', 'politics', 'politician', 'election campaign', 'homosexuality', 'morality', 'election', 'candlelight vigil', 'mayoral campaign']"
The Hurt Locker,1,2009,"['sniper', 'explosive', 'loyalty', 'u.s. army', 'iraq', 'car bomb', 'suspense', 'tension', 'iraq war', 'desert', 'bomb squad', 'body armor', 'woman director', 'army sergeant']"
Up in the Air,0,2009,"['suitcase', 'business', 'omaha', 'on the road', 'downsizing', 'cross country', 'duringcreditsstinger']"
Up,0,2009,"['age difference', 'central and south america', 'balloon', 'animation', 'floating in the air', 'duringcreditsstinger', 'exploring']"
A Serious Man,0,2009,"['professor', 'dark comedy', 'telephone call', 'aftercreditsstinger', '1960s']"
Inglourious Basterds,0,2009,"['paris', 'guerrilla', 'cinema', 'self sacrifice', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'jew', 'nazis', 'masochism', 'sadism', 'scalp', 'winston churchill', 'knife in hand', 'anti semitism', 'gore', 'swastika', 'blood bath', 'german occupation of france', 'violence', 'gun violence']"
District 9,0,2009,"['slum', 'street gang', 'mutation', 'south africa', 'johannesburg', 'dystopia', 'genetics', 'government', 'satire', 'alien', 'prawn', 'mockumentary', 'alternate history', 'racism', 'metamorphosis', 'xenophobia', 'internment camp', 'body transformation', 'alien technology', 'segregation']"
The Blind Side,0,2009,"['american football', 'adoption', 'education', 'private school', 'sport', 'american football player', 'duringcreditsstinger']"
The Hurt Locker,0,2009,"['sniper', 'explosive', 'loyalty', 'u.s. army', 'iraq', 'car bomb', 'suspense', 'tension', 'iraq war', 'desert', 'bomb squad', 'body armor', 'woman director', 'army sergeant']"
An Education,0,2009,"['adolescence', 'age difference', 'parent child relationship', 'self-discovery', 'coming of age', 'love affair', 'youth', 'family', 'woman director', 'teaching the ways of the world', 'love and romance', 'teenage life']"
Avatar,0,2009,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']"
The King's Speech,1,2010,"['great britain', 'radio', 'monarchy', 'radio transmission', 'royal family', 'speech', 'marriage', 'royalty', 'death of father']"
127 Hours,0,2010,"['mountain', 'despair', 'adventure', 'utah', 'alone', 'canyon', 'climbing', 'based on true story', 'rescue', 'survival', 'escape', 'true', 'trapped', 'boulder', 'adventurer', 'flashback', 'climber', 'isolated', 'hikers', 'very little dialogue']"
The Kids Are All Right,0,2010,"['lesbian relationship', 'lesbian', 'dinner', 'motorcycle', 'argument', 'biological father', 'artificial insemination', 'control freak', 'vegetable garden', 'woman director', 'lgbt family']"
The Social Network,0,2010,"['hacker', 'hacking', 'creator', 'frat party', 'social network', 'deposition', 'intellectual property', 'entrepreneur', 'arrogance', 'young entrepreneur', 'facebook']"
Winter's Bone,0,2010,"['father', 'court', 'bail', 'drug trade', 'girl', 'aftercreditsstinger', 'duringcreditsstinger', 'woman director']"
Inception,0,2010,"['loss of lover', 'dream', 'kidnapping', 'sleep', 'subconsciousness', 'heist', 'redemption', 'female hero']"
The Fighter,0,2010,"['sport', 'irish american', 'documentary crew', 'lowell massachusetts', 'blue collar worker', 'church bells', 'documentary filmmaking', 'boxer shorts', 'jumping rope', 'shadow boxing', 'duringcreditsstinger']"
Black Swan,0,2010,"['dancing', 'competition', 'sex', 'dancer', 'obsession', 'paranoia', 'insanity', 'suspense', 'ballet', 'new york city', 'heartbreak', 'mental illness', 'madness', 'swan lake', 'ballerina', 'body horror']"
The King's Speech,0,2010,"['great britain', 'radio', 'monarchy', 'radio transmission', 'royal family', 'speech', 'marriage', 'royalty', 'death of father']"
2010,0,2010,"['jupiter', 'super computer', 'space travel', 'space mission', 'ghost ship', 'outer space', 'astronaut', 'monolith']"
Toy Story 3,0,2010,"['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']"
True Grit,0,2010,"['bounty hunter', 'man hunt']"
The Artist,0,2011,"['film producer', 'film history', 'movie studio', 'hollywood', 'dog', 'mustache', 'hollywoodland', 'silent film', 'marquee', 'terrier', 'movie star', 'flapper', 'silent film star']"
The Descendants,0,2011,"['hawaii', 'father-in-law', 'daughter', 'cheating wife', 'beach house', 'boating accident', 'estate', 'dying mother', 'beautiful girl', 'teenage daughter', 'trustee', 'trust fund', 'wild girl', 'wild child', 'realtor']"
Extremely Loud & Incredibly Close,0,2011,"['based on novel', 'autism', 'key', 'scavenger hunt', 'death of father', 'young boy', 'new york city', 'tambourine', 'lock', 'grieving', 'post 9/11']"
Midnight in Paris,0,2011,"['paris', 'painter', 'detective', 'based on novel', 'screenwriter', 'forbidden love', 'time travel', 'midnight', 'nostalgia', 'past', 'sculpture', 'hemingway']"
The Artist,1,2011,"['film producer', 'film history', 'movie studio', 'hollywood', 'dog', 'mustache', 'hollywoodland', 'silent film', 'marquee', 'terrier', 'movie star', 'flapper', 'silent film star']"
Moneyball,0,2011,"['underdog', 'based on novel', 'baseball', 'teamwork', 'sport', 'partner', 'meeting', 'oakland california', 'strategy', 'voice over', 'statistics']"
The Help,0,2011,"['mississippi', 'based on novel', 'exploitation', 'racial segregation', 'racism', 'writer', 'maid', 'moral courage', 'ressentiment', 'southern belle', 'racial issues', '1960s', 'newspaper columnist']"
War Horse,0,2011,"['world war i', 'horse', 'farm life', 'execution', 'trapped', 'alcoholic', 'cavalry', 'plowing', 'artillery']"
The Tree of Life,0,2011,"['philosophy', 'father son relationship', 'red hair', 'brother sister relationship', 'sun', 'telegram', 'tree', 'meteor', 'afterlife', 'death of a child', 'independent film', 'spirituality', 'outer space', 'dinosaur', 'voice over', 'very little dialogue', 'tarkovskyesque']"
Hugo,0,2011,"['library', 'clock', 'film director', 'key', 'toy', 'boy', 'love', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'leg brace', 'doberman', '3d']"
Zero Dark Thirty,0,2012,"['assassination', 'cia', 'hotel', 'terrorist', 'prisoner', 'car dealer', 'mossad', 'van', 'iraq', 'pakistan', 'osama bin laden', 'man hunt', 'navy seal', 'f word', 'female protagonist', 'gunfight', 'raid', 'violence', 'text message', 'monkey', 'dog', 'special forces', 'tied up', 'military', 'area 51', 'terrorist group', 'torturing', 'woman director', 'al qaeda', 'prison camp', 'water torture', 'suicide bombing', '21st century', 'ex special forces', 'post 9/11', 'helicopter crash', 'islamabad']"
Silver Linings Playbook,0,2012,"['dancing', 'philadelphia', 'running', 'based on novel', 'depression', 'letter', 'friendship', 'neighbor', 'mental illness', 'ex-wife', 'institutionalization', 'bipolar', 'philadelphia eagles']"
Lincoln,0,2012,"['usa president', 'speech', 'battlefield', 'family conflict', 'mourning', 'american civil war', 'cultural conflict', 'based on true events', 'battle of gettysburg', 'secession', 'presidential cabinet', 'gettysburg address', 'conflagration', 'ethical dilemma', 'emancipation', 'abraham lincoln']"
Life of Pi,0,2012,"['ocean', 'shipwreck', 'hindu', 'tiger', 'faith', 'zookeeper', 'teenage boy', 'cargo ship', 'lifeboat', 'injured animal']"
Beasts of the Southern Wild,0,2012,"['refugee camp', 'hurricane', 'fantasy', 'flooding', 'global warming', 'drama', 'bayou', 'crab', 'storm', 'celebration', 'auroch', 'tough love', 'defrost', 'levee', 'prehistoric creature', 'lost mother', 'melting ice caps', 'shrimp', 'salt water', 'explosives', 'crawfish', 'shrimping', 'submerged', 'grits', 'african american child', 'wild man']"
2012,0,2012,"['civilization', 'natural disaster', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'mayan', 'ark', 'solar', 'destruction  of mankind']"
Django Unchained,0,2012,"['bounty hunter', 'hero', 'plantation', 'society', 'friendship', 'friends', 'revenge', 'rivalry', 'rescue', 'shootout', 'racism', 'danger', 'dentist', 'django', 'dual role', 'aftercreditsstinger', 'odd couple', 'black slave', 'deadly', 'chases and races', '19th century']"
Argo,0,2012,"['cia', 'wife husband relationship', 'revolution', 'hiding place', 'press conference', 'biography', 'hanged man', 'american abroad', 'extraction', 'iran hostage crisis', 'intelligence agent', 'langley virginia', '1980s']"
Argo,1,2012,"['cia', 'wife husband relationship', 'revolution', 'hiding place', 'press conference', 'biography', 'hanged man', 'american abroad', 'extraction', 'iran hostage crisis', 'intelligence agent', 'langley virginia', '1980s']"
Amour,0,2012,"['nurse', 'music teacher', 'aging', 'daughter', 'music', 'love', 'retired', 'illness', 'pigeon', 'stroke', 'octogenarian', 'old couple']"
12 Years a Slave,0,2013,"['whip', 'kidnapping', 'slavery', 'plantation', 'night shift', 'violin player', 'physical abuse', 'cotton', 'slave owner', '19th century', 'sold into slavery', 'abolitionist']"
American Hustle,0,2013,"['con artist', 'scam', 'mobster', 'fbi agent']"
Captain Phillips,0,2013,"['ship', 'hijacking', 'somalia', 'fisherman', 'blood', 'poverty', 'pirate', 'terrorism', 'commando', 'hijack', 'cargo ship', 'ship captain', 'ship hijacking', 'somali', 'commando unit']"
Her,0,2013,"['artificial intelligence', 'computer', 'love', 'loneliness', 'transhumanism', 'heartbreak', 'near future', 'singularity', 'bittersweet']"
Nebraska,0,2013,"['montana', 'small town', 'dementia', 'aging', 'road trip', 'f word', 'pickup truck', 'lincoln nebraska', 'nebraska', 'sweepstakes', 'confronting the past']"
Dallas Buyers Club,0,2013,"['women', 'aids', 'biography', 'based on true story', 'hiv', 'drug', '1980s']"
The Wolf of Wall Street,0,2013,"['corruption', 'sex', 'sexuality', 'bank', 'humor', 'biography', 'wall street', 'marriage crisis', 'rise and fall', 'stockbroker', 'drug', 'stock broker']"
12 Years a Slave,1,2013,"['whip', 'kidnapping', 'slavery', 'plantation', 'night shift', 'violin player', 'physical abuse', 'cotton', 'slave owner', '19th century', 'sold into slavery', 'abolitionist']"
Philomena,0,2013,"['mother', 'washington d.c.', 'journalist', 'adoption', 'forgiveness', 'son', 'faith', 'search', 'church', 'ireland', 'based on true events', 'nuns']"
Whiplash,0,2014,"['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']"
Selma,0,2014,"['alabama', 'martin luther king', 'president', 'black american', 'civil rights', 'protest march', 'woman director', 'selma']"
The Grand Budapest Hotel,0,2014,"['hotel', 'painting', 'wartime', 'gunfight', 'theft', 'mentor protégé relationship', 'european', 'hotel lobby', 'renaissance painting']"
The Imitation Game,0,2014,"['gay', 'england', 'world war ii', 'mathematician', 'biography', 'logician', 'cryptography']"
American Sniper,0,2014,"['sniper', 'biography', 'iraq', 'navy seal', 'u.s. soldier']"
Boyhood,0,2014,"['daily life', ""family's daily life"", 'urban life', 'growing up', 'domestic abuse', 'coming of age', 'parenting', 'divorce', 'family', 'divorced parents', 'abusive husband']"
Spotlight,1,2015,"['child abuse', 'journalism', 'judge', 'florida', 'boston', 'pedophilia', 'court', 'cover-up', 'priest', 'lawyer', 'catholic', 'catholic church', 'catholicism', 'september 11 2001', 'investigative journalism', 'cardinal', 'christmas']"
Room,0,2015,"['based on novel', 'carpet', 'isolation', 'kidnapping', 'imprisonment', 'grandparents', 'escape', 'hospital', 'dog', 'captive', 'mother son relationship', 'shed', 'skylight']"
The Revenant,0,2015,"['police', 'vigilante', 'blood', 'gangster', 'revenant']"
The Martian,0,2015,"['based on novel', 'mars', 'nasa', 'isolation', 'botanist', 'stranded', 'spaceship', 'space', 'engineering', 'survival', 'astronaut', 'science', 'deep space explorer', 'duringcreditsstinger', 'battle for survival']"
Mad Max: Fury Road,0,2015,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'on the run', 'convoy', 'peak oil', 'dark future']"
Bridge of Spies,0,2015,"['spy', 'cia', 'cold war', 'soviet union', 'pilot', 'lawyer', 'american']"
The Big Short,0,2015,"['bank', 'fraud', 'biography', 'wall street', 'finances', 'based on true story', 'animated sequence', 'breaking the fourth wall', 'loan', 'financial crisis', 'real estate', 'mortgage']"
Spotlight,0,2015,"['child abuse', 'journalism', 'judge', 'florida', 'boston', 'pedophilia', 'court', 'cover-up', 'priest', 'lawyer', 'catholic', 'catholic church', 'catholicism', 'september 11 2001', 'investigative journalism', 'cardinal', 'christmas']"
Brooklyn,0,2015,"['love triangle', 'based on novel', 'homesickness', 'vororte', 'ship', 'community', 'marriage', 'working class', 'boarding house', 'ireland', 'brooklyn new york city', 'journey', 'dual life', 'irish immigrant', '1950s']"
Fences,0,2016,"['father', 'based on play or musical', 'racism', 'african american', 'pittsburgh', '1950s', 'struggle']"
Arrival,0,2016,"['spacecraft', 'language', 'loss', 'romance', 'alien', 'female protagonist', 'scientist', 'family', 'heartbreak', 'based on short story', 'nonlinear timeline', 'military', 'alien language', 'linguist', 'first contact', 'communication', 'linguistics']"
Moonlight,0,2016,"['gay', 'drug abuse', 'florida', 'fight', 'drug addiction', 'restaurant', 'drug dealer', 'high school', 'homosexuality', 'coming of age', 'african american', 'mother son relationship', 'lgbt', 'addict', 'black lgbt']"
Hacksaw Ridge,0,2016,"['japan', 'world war ii', 'violent father', 'pacifism', 'bible', 'biography', 'war', 'conscientious objector', 'based on true story', 'gore', 'religion', 'soldier', 'religious', 'alcoholic', 'war hero', 'medic', 'u.s. military', 'based on true events', 'historical drama', '1940s']"
Hell or High Water,0,2016,"['desperation', 'texas', 'bank robber', 'brother', 'shooting', 'car set on fire', 'gun battle', 'police officer killed', 'criminal', 'held at gunpoint', 'police car', 'small western town', 'saying goodbye', 'bullet hole in windscreen']"
Hidden Figures,0,2016,"['nasa', 'sexism', 'biography', 'mathematics', 'racial segregation', 'racism', 'scientist', 'space race', 'black woman', 'u.s. space program', 'discrimination', '1960s']"
La La Land,0,2016,"['jazz', 'dance', 'passion', 'musical', 'casting', 'los angeles', 'pianist', 'theater', 'movie set', 'actress']"
Lion,0,2016,"['based on novel', 'indian lead', 'adoption', 'australia', 'based on true story', 'india', 'missing child', 'long lost relative', 'tasmania', 'passenger train', 'street child']"
Manchester by the Sea,0,2016,"['sadness', 'boston', 'massachusetts', 'funeral', 'loss', 'grief', 'dysfunctional family', 'hospital', 'death', 'nephew', 'mental health', 'family tragedy', 'legal guardian', 'dysfunctional life']"
Moonlight,1,2016,"['gay', 'drug abuse', 'florida', 'fight', 'drug addiction', 'restaurant', 'drug dealer', 'high school', 'homosexuality', 'coming of age', 'african american', 'mother son relationship', 'lgbt', 'addict', 'black lgbt']"
Call Me by Your Name,0,2017,"['italy', 'based on novel', 'love', 'gay relationship', 'summer', 'teenage boy', 'lgbt']"
Dunkirk,0,2017,"['evacuation', 'sacrifice', 'survival', 'dunkirk']"
Get Out,0,2017,"['externally controlled action', 'parents-in-law', 'satire', 'dark comedy', 'interracial relationship', 'disappearance', 'racism', 'african american', 'stereotype', 'police harassment', 'missing', 'race-conscious']"